Date,Year,Month,Day,Time,Country,Location,Operator,Operator_Type,Route,Type,Aboard,Fatalities,Fatality_Rate,Ground,Causes,Summary
1920-04-10,1920,April,Saturday,10:00,USA,"Newark, New Jersey",Us Aerial Mail Service,Civilian,Unavailable,Curtiss R-4Lm,2,1,0.5,0,Unknown,No remark
1920-04-11,1920,April,Sunday,10:00,USA,"Heller Field, New Jersey",Us Aerial Mail Service,Civilian,Unavailable,Curtiss Jn-4H,2,1,0.5,0,Unknown,No remark
1920-05-12,1920,May,Wednesday,10:00,USA,"Oskaloosa, Iowa",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,2,1,0.5,0,Unknown,No remark
1920-06-06,1920,June,Sunday,10:00,USA,"Cleveland, Ohio",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1920-08-16,1920,August,Monday,10:00,,"Bedford, England",By Air,Civilian,Unavailable,Armstrong-Whitworth F-K-8,1,1,1.0,0,Unknown,No remark
1920-08-16,1920,August,Monday,10:00,USA,"College Park, Maryland",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1920-09-01,1920,September,Wednesday,10:00,USA,"Morristown, New Jersey",Us Aerial Mail Service,Civilian,Unavailable,Junkers Jl-6,2,2,1.0,0,Unknown,No remark
1920-09-15,1920,September,Wednesday,10:00,USA,"Pemberville, Ohio",Us Aerial Mail Service,Civilian,Unavailable,Junkers F-13,2,2,1.0,0,Unknown,No remark
1920-09-27,1920,September,Monday,10:00,USA,"Hillersburg, Pennsylvania",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1920-10-02,1920,October,Saturday,10:00,France,"Off Port Vendres, France",Latecoere Airlines,Civilian,Unavailable,Salmson 2-A-2,2,2,1.0,0,Unknown,No remark
1920-10-05,1920,October,Tuesday,10:00,Spain,"Valencia, Spain",Latecoere Airlines,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Pilot Error,Crashed while landing.
1920-10-15,1920,October,Friday,10:00,USA,"Batavia, Illinois",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1920-11-07,1920,November,Sunday,10:00,USA,"Tie Siding, Wyoming",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1920-12-14,1920,December,Tuesday,10:00,,"Cricklewood, England",Handley Page Transport,Civilian,Unavailable,Handley Page Hp-16,8,4,0.5,0,Collision/Impact,Crashed into a tree on take off in fog.
1920-12-24,1920,December,Friday,10:00,Spain,"Barcelona, Spain",Aeropostale,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1921-02-03,1921,February,Thursday,10:00,,"Mendotta, Minnisota",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1921-02-09,1921,February,Wednesday,10:00,USA,"La Crosse, Wisconsin",Us Aerial Mail Service,Civilian,Unavailable,Junkers F-13,3,3,1.0,0,Unknown,No remark
1921-02-15,1921,February,Tuesday,10:00,Gibraltar,Off Gibraltar,Aeropostale,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1921-02-22,1921,February,Tuesday,10:00,USA,"Elko, Nevada",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1921-04-06,1921,April,Wednesday,10:00,Australia,"Point Cook, Australia",Military - Royal Australian Air Force,Military,Unavailable,Douglas Dc-3,2,1,0.5,0,Unknown,No remark
1921-04-21,1921,April,Thursday,10:00,USA,"Mitchel Field, Ny",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1921-04-29,1921,April,Friday,10:00,USA,"Cleveland, Ohio",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1921-05-17,1921,May,Tuesday,10:00,USA,"Rock Springs, Wyoming",Us Aerial Mail Service,Civilian,Unavailable,Douglas Dc-3,1,1,1.0,0,Unknown,No remark
1921-07-16,1921,July,Saturday,10:00,USA,"San Francisco, California",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1921-08-14,1921,August,Sunday,10:00,France,"Toulouse, France",Aeropostale,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1921-08-24,1921,August,Wednesday,17:40,,"River Humber, England",Military - Royal Airship Works,Military,Unavailable,Royal Airship Works Zr-2 (Airship),46,46,1.0,1,Mechanical Failure,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
1921-09-06,1921,September,Tuesday,17:40,France,"Paris, France",Franco-Roumaine,Civilian,Varsovie - Strasbourg - Paris,Potez Ix,5,5,1.0,0,Pilot Error,Crashed while making an approach to Le Bourget Airport in Paris.
1921-12-05,1921,December,Monday,17:40,Australia,"Near Murchinson River, Australia",West Australian Airways,Civilian,Unavailable,Bristol 28 Tourer,3,3,1.0,0,Unknown,No remark
1922-01-14,1922,January,Saturday,17:40,France,"Paris, France",Handley Page Transport,Civilian,Unavailable,Handley Page O/10,5,5,1.0,5,Collision/Impact,Crashed at Le Bourget field.
1922-02-21,1922,February,Tuesday,17:40,USA,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Military,Unavailable,Dirigible Roma (Airship),45,34,0.76,0,Mechanical Failure,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
1922-04-07,1922,April,Friday,17:40,France,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Civilian,Unavailable,De Havilland Dh-18 / Farman F-60 Goliath,7,7,1.0,0,Unknown,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
1922-04-08,1922,April,Saturday,17:40,China,"Pao Ting Fou, China",Aeroflot,Civilian,Unavailable,Douglas Dc-3,17,17,1.0,0,Unknown,All seventeen aboard were Chinese nationals.
1922-04-13,1922,April,Thursday,17:40,,"Brooklands, England",Vickers,Civilian,Unavailable,Vickers Viking,3,3,1.0,0,Unknown,No remark
1925-10-01,1925,October,Thursday,17:40,USA,"Nittany Mt, Ohio",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1922-06-03,1922,June,Saturday,17:40,,"Off Folkestone, Kent, England",Cie Des Messageries Aeriennes,Civilian,Unavailable,Bleriot Spad 27,3,3,1.0,0,Unknown,No remark
1922-07-26,1922,July,Wednesday,17:40,Spain,"Cadix, Spain",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,3,3,1.0,0,Unknown,No remark
1922-09-07,1922,September,Thursday,17:40,USA,"Indianapolis, Indiana",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1922-10-02,1922,October,Monday,17:40,Italy,"Venice, Italy",Aeroflot,Civilian,Unavailable,De Havilland Dh-9,4,4,1.0,0,Unknown,No remark
1922-10-25,1922,October,Wednesday,17:40,Morocco,"Larache, Morocco",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1922-12-03,1922,December,Sunday,17:40,Morocco,"Fez, Morocco",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1923-01-10,1923,January,Wednesday,17:40,France,"Ajaccio, France",Amee De L'Air,Civilian,Unavailable,Lioré-Et-Olivier H-13,4,3,0.75,0,Unknown,No remark
1923-01-17,1923,January,Wednesday,17:40,Spain,"Barcelona, Spain",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1923-01-18,1923,January,Thursday,17:40,USA,"Cheyenne, Wyoming",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1923-02-26,1923,February,Monday,17:40,USA,"Meadville, Pennsylvania",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1923-05-14,1923,May,Monday,17:40,France,"Monsures, France",Grands Express Aeriens,Civilian,Unavailable,Farman F-60 Goliath,6,6,1.0,0,Unknown,No remark
1923-08-27,1923,August,Monday,17:40,Romania,"Bucharest, Romania",Campagnie France Roumaine,Civilian,Unavailable,Blériot Spad 46,2,2,1.0,0,Unknown,No remark
1923-09-07,1923,September,Friday,17:40,USA,"Colton, Ohio",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1923-09-14,1923,September,Friday,17:40,,"Berks, England",Daimler Airways,Civilian,Unavailable,De Havilland Dh-34,6,6,1.0,0,Unknown,No remark
1923-11-18,1923,November,Sunday,17:40,Russian Federation,Russia,Cccp,Civilian,Unavailable,Junkers F-13,4,2,0.5,0,Unknown,No remark
1923-12-06,1923,December,Thursday,17:40,USA,"Castalia, Ohio",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1923-12-23,1923,December,Sunday,02:30,Northern Mariana Islands,Over The Mediterranean Sea,Military - French Navy,Military,Toulon - Algiers,Zeppelin Dixmunde (Airship),52,52,1.0,0,Weather,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
1923-12-24,1923,December,Monday,02:30,USA,"Egbert, Wy",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1924-03-07,1924,March,Friday,02:30,USA,"Grampian, Pennsylvania",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1924-04-24,1924,April,Thursday,02:30,Northern Mariana Islands,Over The English Channel,Klm Royal Dutch Airlines,Civilian,"Lympne, England - Rotterdam, The Netherlands",Fokker F.Iii,3,3,1.0,0,Unknown,No remark
1924-06-08,1924,June,Sunday,02:30,Colombia,"Barranquilla, Colombia",Scadta,Civilian,Unavailable,Junkers F-13,3,3,1.0,0,Unknown,No remark
1924-08-01,1924,August,Friday,02:30,United Arab Emirates,United States,Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1924-11-06,1924,November,Thursday,02:30,France,"Cabrerolles, France",Grands Express Aeriens,Civilian,Unavailable,Douglas Dc-3,1,1,1.0,0,Unknown,No remark
1924-12-21,1924,December,Sunday,02:30,USA,"Goshen, Indiana",Us Aerial Mail Service,Civilian,Unavailable,De Havilland Dh-4,1,1,1.0,0,Unknown,No remark
1924-12-24,1924,December,Wednesday,02:30,,"Purley, England",Imperial Airways,Civilian,Unavailable,De Havilland Dh-34B,8,8,1.0,0,Pilot Error,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
1925-03-22,1925,March,Sunday,02:30,USA,"Near Tiflies, Georgia, Ussr",Zakavia,Civilian,Unavailable,Junkers F-13,5,5,1.0,0,Unknown,No remark
1925-04-25,1925,April,Saturday,02:30,Spain,"Alicante, Spain",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,4,4,1.0,0,Unknown,No remark
1925-05-25,1925,May,Monday,02:30,Spain,"Alicante, Spain",Lignes Aeriennes Latecoere,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1925-06-25,1925,June,Thursday,02:30,France,"Landrécies, France",Klm Royal Dutch Airlines,Civilian,Unavailable,Fokker (Klm)  F.Iii,4,4,1.0,0,Weather,Crashed in poor weather.
1925-06-26,1925,June,Friday,02:30,Spain,"Alicante, Spain",Grands Express Aeriens,Civilian,Unavailable,Lioré-Et-Olivier H-13,2,2,1.0,0,Unknown,No remark
1925-07-20,1925,July,Monday,02:30,Spain,"Rosas, Spain",Lignes Aeriennes Latecoere,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1925-07-24,1925,July,Friday,02:30,Hungary,"Budapest, Hungary",Cidna,Civilian,Unavailable,Potez Ix,1,1,1.0,0,Unknown,No remark
1925-09-03,1925,September,Thursday,05:30,USA,"Caldwell, Ohio",Military - U.S. Navy,Military,"Lakehurst, Nj - S.T Louis, Mo",Dirigible Zr-1 Shenandoah (Airship),43,14,0.33,0,Mechanical Failure,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
1925-09-07,1925,September,Monday,05:30,France,"Toul, France",Cidna,Civilian,Unavailable,Douglas Dc-3,3,3,1.0,0,Unknown,No remark
1925-11-14,1925,November,Saturday,05:30,France,"Off Boulogne-Sur-Mer, France",Air Union,Civilian,Unavailable,Farman F-60 Goliath,2,2,1.0,0,Unknown,No remark
1926-02-12,1926,February,Friday,05:30,USA,"Montpelier, Ohio",Us Aerial Mail Service,Civilian,Unavailable,Curtiss Carrier Pigeon,1,1,1.0,0,Unknown,No remark
1926-03-08,1926,March,Monday,05:30,Germany,"Staaken, Germany",Deutche Lufthansa,Civilian,Unavailable,Junkers F-13,1,1,1.0,0,Unknown,No remark
1926-05-31,1926,May,Monday,05:30,,English Channel,Air Union,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1926-07-03,1926,July,Saturday,05:30,Slovakia,"Rossaugpt, Czechoslovakia",Compagnie Internationale De Navigation Aérienne,Civilian,Paris - Prague,Caudron C-61,7,7,1.0,0,Collision/Impact,Crashed while en route.
1926-07-09,1926,July,Friday,05:30,Belgium,"Wolvertem, Belgium",Klm Royal Dutch Airlines,Civilian,Unavailable,Fokker F-4,2,2,1.0,0,Unknown,No remark
1926-07-24,1926,July,Saturday,05:30,Germany,"Juist, Germany",Deutsche Lufthansa,Civilian,Unavailable,Junkers F-13,4,4,1.0,0,Weather,Weather related.
1926-08-18,1926,August,Wednesday,05:30,,"Hurst, Kent, England",Air Union,Civilian,Unavailable,Bleriot 155,4,4,1.0,0,Mechanical Failure,Crashed in adverse weather conditions.  Engine failure.
1926-09-26,1926,September,Sunday,05:30,USA,"New York, New York",Aeroflot,Civilian,New York - Paris,Sikorsky S-25,5,2,0.4,0,Pilot Error,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
1926-10-08,1926,October,Friday,05:30,Germany,"Bueren, Germany",Deutsche Lufthansa,Civilian,Unavailable,Fokker Fg Iii,4,4,1.0,0,Weather,Weather related.
1926-10-21,1926,October,Thursday,13:15,,English Channel,Imperial Airways,Civilian,Unavailable,Handley Page W-10,12,0,0.0,0,Pilot Error,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
1926-11-11,1926,November,Thursday,13:15,Morocco,"Cape Bojador, Morocco",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,3,3,1.0,0,Unknown,No remark
1926-12-16,1926,December,Thursday,13:15,USA,"Medford, Oregon",Pacifiair Transport,Civilian,Unavailable,Ryan M-1,1,1,1.0,0,Unknown,No remark
1927-01-12,1927,January,Wednesday,13:15,France,"Lille, France",Klm Royal Dutch Airlines,Civilian,Unavailable,Fokker F-Vii,2,2,1.0,0,Unknown,No remark
1927-03-20,1927,March,Sunday,13:15,Morocco,"Rabat, Morocco",Grands Express Aeriens,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1927-03-24,1927,March,Thursday,13:15,Australia,"Tambo, Qld, Australia",Qantas,Civilian,Unavailable,De Havilland Dh-9C,3,3,1.0,0,Pilot Error,Stalled at low altitiude on approach to land
1927-04-15,1927,April,Friday,13:15,USA,"King Hill, Idaho",Varney Air Lines,Civilian,Unavailable,Douglas Dc-3,1,1,1.0,0,Mechanical Failure,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
1927-04-22,1927,April,Friday,13:15,USA,"Goshen, Indiana",Us Aerial Mail Service,Civilian,Unavailable,Douglas M-4,1,1,1.0,0,Unknown,No remark
1927-04-22,1927,April,Friday,13:15,Germany,"Floh, Germany",Deutsche Lufthansa,Civilian,Unavailable,Fokker Fg Iii,2,2,1.0,0,Mechanical Failure,Engine failure.
1927-05-02,1927,May,Monday,13:15,Algeria,"Algiers, Algeria",Air Union,Civilian,Unavailable,Spca Meteore 63,3,1,0.33,0,Unknown,No remark
1927-07-27,1927,July,Wednesday,13:15,Germany,"Amoneburg, Germany",Deutsche Lufthansa,Civilian,Unavailable,Junkers F-13,5,5,1.0,0,Mechanical Failure,Engine failure.
1927-08-22,1927,August,Monday,08:30,,"Sevenoaks, England",Klm Royal Dutch Airlines,Civilian,Croydon - Schiphol,Fokker F-Viii,11,1,0.09,0,Pilot Error,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
1927-09-03,1927,September,Saturday,08:30,USA,"Willington, Connecticut",Colonial Air Transport,Civilian,Unavailable,Fokker Universal,1,1,1.0,0,Unknown,No remark
1927-09-17,1927,September,Saturday,08:30,USA,"Hadley, New Jersey",Reynolds Airways,Civilian,Sightseeing,Fokker F-Vii,12,7,0.58,0,Pilot Error,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
1927-09-22,1927,September,Thursday,08:30,Germany,"Saale, Germany",Deutsche Lufthansa,Civilian,Unavailable,Bfw M-18,4,2,0.5,0,Mechanical Failure,Engine failure.
1927-09-23,1927,September,Friday,10:00,Germany,"Schleiz, Germany",Deutsche Lufthansa,Civilian,Berlin - Munich,Dornier Merkur,6,6,1.0,0,Unknown,Broken wing strut.
1927-10-06,1927,October,Thursday,10:00,Mauritania,"Thies, Mauritania",Lignes Aeriennes Latecoere,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1927-10-30,1927,October,Sunday,10:00,USA,"New Brunswick, New Jersey",Colonial Air Transport,Civilian,Unavailable,Fairchild Fc-2,4,4,1.0,0,Collision/Impact,Went into a tailspin and crashed into a corn field
1927-11-16,1927,November,Wednesday,10:00,France,"Strasburg, France",Cidna,Civilian,Unavailable,Farman F-121 Jabiru,1,1,1.0,0,Unknown,No remark
1927-11-16,1927,November,Wednesday,10:00,Finland,Over The Gulf Of Finland,Aero O-Y,Civilian,Unavailable,Junkers F-13,6,6,1.0,0,Unknown,No remark
1927-11-29,1927,November,Tuesday,10:00,USA,"Corunna, Indiana",National Air Transport,Civilian,Unavailable,Douglas M-4,1,1,1.0,0,Unknown,No remark
1927-12-26,1927,December,Monday,10:00,Spain,"Almeria, Spain",Aeropostale,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1927-12-28,1927,December,Wednesday,10:00,Spain,"Abuerio, Spain",Aeropostale,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1927-12-31,1927,December,Saturday,10:00,France,France,Latecoere Airlines,Civilian,Unavailable,Latécoère 23,4,4,1.0,0,Unknown,No remark
1928-01-08,1928,January,Sunday,10:00,USA,"Near Canajoharie, New York",Colonial Western Airlines,Civilian,Minola - Albany - Buffalo,Fairchild Fc-2,3,3,1.0,0,Unknown,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
1928-01-16,1928,January,Monday,10:00,Uruguay,"Solis, Uruguay",Aeropostale,Civilian,Unavailable,Latecoere 25,2,2,1.0,0,Unknown,No remark
1928-01-22,1928,January,Sunday,10:00,Spain,"Tarragona, Spain",Aeropostale,Civilian,Unavailable,Breguet 14,2,2,1.0,0,Unknown,No remark
1928-01-22,1928,January,Sunday,10:00,France,France,Aeropostale,Civilian,Unavailable,Breguet 14,2,1,0.5,0,Unknown,No remark
1928-01-27,1928,January,Friday,10:00,Spain,"Almeria, Spain",Aeropostale,Civilian,Unavailable,Breguet 14,1,1,1.0,0,Unknown,No remark
1928-02-26,1928,February,Sunday,10:00,USA,"Marquette, Nebraska",Boeing Air Transport,Civilian,Unavailable,Boeing 40,2,1,0.5,0,Pilot Error,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
1928-03-03,1928,March,Saturday,10:00,USA,"Rio De Janeiro, Brazil",Aeroflot,Civilian,Unavailable,Douglas Dc-3,10,10,1.0,0,Unknown,No remark
